day,Open,High,Low
1,28923.63,28961.66,28913.12
2,28961.67,29017.5,28961.01
3,29009.54,29016.71,28973.58
4,28989.68,28999.85,28972.33
5,28982.67,28995.93,28971.8
6,28975.65,28979.53,28933.16
7,28937.11,28963.25,28937.1
8,28943.88,28954.48,28930
9,28934.84,28936.15,28889.24
10,28900,28920.06,28846.28
